10.1103/PhysRevC.59.1179 l6r3
10.1103/PhysRevB.62.2496 b5t3
10.1103/PhysRevB.62.2496 r4h2
10.1103/PhysRevD.67.074001 p2f1
10.1103/PhysRevD.67.074001 a5t3
10.1103/PhysRevB.45.2638 d6s2
10.1103/PhysRevLett.68.3295 n3t1
10.1103/PhysRevLett.68.3295 l2o2
10.1103/PhysRevLett.68.3295 p6m2
10.1103/PhysRevLett.68.3295 o5q3
10.1103/PhysRevLett.45.322 q4z1
10.1103/PhysRevLett.45.322 o2d3
10.1103/PhysRevLett.45.322 v4r1
10.1103/PhysRevD.67.034007 v5z3
10.1103/PhysRevD.67.034007 l1t3
10.1103/PhysRevA.70.023204 k4s2
10.1103/PhysRevA.70.023204 m2o1
10.1103/PhysRevB.44.443 a6z2
10.1103/PhysRevB.68.052406 d1t3
10.1103/PhysRevB.68.052406 v3x3
10.1103/PhysRevB.46.9958 y3g1
10.1103/PhysRevB.46.9958 n3d3
10.1103/PhysRevLett.81.3463 l4d1
10.1103/PhysRevLett.81.3463 q1r3
10.1103/PhysRevA.60.1324 e5d3
10.1103/PhysRevA.60.1324 b1b3
10.1103/PhysRevA.60.1324 f2f2
10.1103/PhysRevC.50.1868 y5g3
10.1103/PhysRevC.50.1868 j6z3
10.1103/PhysRevC.50.1868 m2k2
10.1103/PhysRevC.50.1868 v6v1
10.1103/PhysRevB.18.3271 v5g3
10.1103/PhysRevB.18.3271 r4j2
10.1103/PhysRevB.18.3271 v2b1
10.1103/PhysRevA.50.1770 z4k1
10.1103/PhysRevA.50.1770 o5c3
10.1103/PhysRevB.33.5795 o5w2
10.1103/PhysRevB.33.5795 j2j2
10.1103/PhysRevA.69.052312 j4s3
10.1103/PhysRevA.69.052312 b4c2
10.1103/PhysRevA.69.052312 o6k1
10.1103/PhysRevB.9.2073 x5x1
10.1103/PhysRevB.9.2073 c5u1
10.1103/PhysRevA.38.3937 s2f3
10.1103/PhysRevA.38.3937 w1w2
10.1103/PhysRevB.52.4651 w1a1
10.1103/PhysRevB.52.4651 o3d3
10.1103/PhysRevC.53.2739 k4d1
10.1103/PhysRevC.53.2739 p6c2
10.1103/PhysRevC.53.2739 q2v2
10.1103/PhysRevC.53.2739 t4u2
10.1103/PhysRevC.53.2739 l3p2
10.1103/PhysRevC.53.2739 r1l2
10.1103/PhysRevC.53.2739 k2z2
10.1103/PhysRevB.28.2827 b2y1
10.1103/PhysRevD.55.1777 o1g3
10.1103/PhysRevD.55.1777 x3a3
10.1103/PhysRevC.36.848 x3x2
10.1103/PhysRevA.49.3610 z5f1
10.1103/PhysRevA.49.3610 p3k3
10.1103/PhysRevB.58.756 d6l2
10.1103/PhysRevA.4.2413 v2b1
10.1103/PhysRevD.26.2514 p6x2
10.1103/PhysRevD.26.2514 x2w2
10.1103/PhysRevE.61.4422 m2m3
10.1103/PhysRevB.66.184106 e6s3
10.1103/PhysRevB.66.184106 j3l1
10.1103/PhysRevB.66.184106 q2s1
10.1103/PhysRevB.66.184106 c4w1
10.1103/PhysRevC.54.R977 l6r3
10.1103/PhysRevC.54.R977 r6v3
10.1103/PhysRevC.54.R977 l6h1
